id_cust,status_cust,jml_anggota_keluarga,usia,jml_purchases,recency,jml_kunjungan_web,tingkat_pendidikan,response,pendapatan,jml_spendings,jml_anak,complain,tanggal_join,jml_campaigns
5710,Taken,3,47.0,11,31,5,Graduate,0,Rp 243288000,120,1,0,2012-10-10,1
7373,Single,3,65.0,21,8,6,Postgraduate,1,Rp 279660000,302,2,0,2012-10-29,0
8755,Taken,2,71.0,21,4,7,Postgraduate,0,Rp 411942000,1196,0,0,2013-02-20,0
10738,Single,3,66.0,8,55,7,Postgraduate,0,Rp 296334000,65,2,0,2013-08-29,0
4339,Taken,3,47.0,33,37,2,Postgraduate,0,Rp 404118000,913,1,0,2013-12-31,0
10755,Taken,3,41.0,12,76,7,Undergraduate,0,Rp 142308000,81,1,0,2013-02-09,0
8595,Single,2,44.0,8,99,5,Graduate,0,Rp 254574000,67,1,0,2014-11-02,0
2968,Single,1,74.0,31,53,6,Postgraduate,1,Rp 293688000,902,0,0,2013-01-02,2
8601,Taken,3,37.0,29,3,4,Graduate,0,Rp 480066000,1395,1,0,2013-04-29,0
503,Taken,3,32.0,9,88,8,Postgraduate,0,Rp 123354000,53,1,0,2013-12-03,0
8430,Taken,3,60.0,4,4,5,Graduate,0,Rp 131964000,22,1,0,2012-12-24,0
2139,Taken,3,42.0,10,19,5,Postgraduate,0,Rp 45000000,31,1,0,2013-02-10,0
1371,Single,1,41.0,18,72,1,Graduate,0,Rp 479646000,984,0,0,2014-06-28,0
9909,Taken,2,21.0,13,24,9,Undergraduate,1,Rp 45000000,122,0,0,2012-09-11,0
7286,Taken,3,49.0,7,92,10,Graduate,0,Rp 250368000,55,1,0,2013-05-24,0
6566,Taken,4,63.0,33,39,8,Postgraduate,0,Rp 435300000,1319,2,0,2012-08-11,0
8614,Single,2,60.0,21,29,2,Graduate,0,Rp 392916000,507,1,0,2014-12-05,0
4114,Taken,2,53.0,35,2,3,Postgraduate,0,Rp 474858000,1693,0,0,2012-11-08,0
1331,Single,2,40.0,9,54,7,Graduate,0,Rp 214740000,72,1,0,2013-02-01,0
2225,Single,1,40.0,25,54,1,Graduate,1,Rp 495492000,1617,0,0,2014-07-06,2
9381,Taken,4,39.0,27,57,3,Graduate,0,Rp 398238000,606,2,0,2013-12-06,0
6260,Taken,2,62.0,30,55,1,Postgraduate,1,Rp 494304000,1957,0,0,2012-11-19,1
10383,Single,1,51.0,26,30,3,Graduate,1,Rp 421722000,1093,0,0,2013-02-04,0
7437,Single,2,29.0,7,31,3,Graduate,0,Rp 167628000,29,1,0,2014-04-28,0
8375,Taken,3,49.0,27,63,7,Postgraduate,0,Rp 335724000,518,1,0,2014-03-03,0
6853,Single,1,35.0,24,12,1,Postgraduate,1,Rp 454662000,1438,0,0,2013-04-07,2
3076,Taken,4,42.0,26,18,3,Graduate,0,Rp 399918000,612,2,0,2012-07-09,0
1012,Single,2,65.0,32,26,7,Graduate,0,Rp 370938000,884,1,0,2013-02-18,0
6518,Single,2,66.0,26,8,5,Postgraduate,0,Rp 406080000,606,1,0,2013-11-06,0
4137,Taken,2,3965.0,23,29,4,Graduate,0,Rp 423996000,1076,0,0,2013-06-12,0
8082,Taken,3,46.0,6,75,7,Graduate,1,Rp 154326000,34,1,0,2013-05-21,0
1386,Taken,4,50.0,5,0,7,Graduate,0,Rp 194844000,11,2,0,2014-11-05,0
9369,Single,2,38.0,43,19,5,Undergraduate,1,Rp 529164000,1274,1,0,2014-03-19,2
4477,Taken,3,59.0,23,4,4,Graduate,0,Rp 414576000,653,1,0,2013-09-27,0
1357,Taken,5,47.0,21,90,5,Graduate,0,Rp 449124000,1562,3,0,2013-08-04,0
1402,Taken,2,63.0,25,1,3,Postgraduate,0,Rp 401946000,1253,0,0,2012-11-09,0
6312,Taken,3,58.0,40,29,7,Graduate,0,Rp 390186000,863,1,0,2013-03-17,0
8132,Taken,4,42.0,33,88,7,Postgraduate,0,Rp 363786000,661,2,0,2013-05-04,1
1050,Taken,2,65.0,10,58,2,Graduate,0,Rp 169992000,65,0,0,2014-04-30,0
5846,Single,2,40.0,5,68,6,Graduate,0,Rp 241476000,13,1,0,2012-12-19,0
1859,Taken,2,45.0,26,34,5,Postgraduate,1,Rp 451506000,1890,0,0,2012-08-27,0
7503,Single,1,41.0,27,40,4,Graduate,1,Rp 454950000,2209,0,0,2012-12-10,2
10401,Taken,2,41.0,4,12,3,Undergraduate,0,Rp 157956000,18,0,1,2013-04-09,0
1618,Taken,2,52.0,31,9,8,Graduate,1,Rp 336276000,692,0,0,2013-02-01,2
3332,Single,2,32.0,15,87,8,Graduate,0,Rp 178560000,165,1,0,2012-08-29,0
2261,Taken,3,48.0,5,5,7,Graduate,0,Rp 157824000,16,1,0,2013-06-23,0
5346,Taken,3,44.0,12,87,7,Undergraduate,0,Rp 141354000,79,1,0,2013-03-07,0
4119,Taken,2,54.0,13,56,3,Postgraduate,0,Rp 231720000,318,0,0,2013-11-05,0
535,Single,1,30.0,30,18,1,Graduate,0,Rp 488166000,778,0,0,2014-02-25,0
5268,Taken,4,57.0,8,95,7,Graduate,0,Rp 176640000,56,2,0,2013-11-08,0
273,Taken,4,47.0,16,48,7,Postgraduate,0,Rp 216828000,151,2,0,2013-07-16,1
4452,Single,2,60.0,23,3,7,Graduate,1,Rp 302328000,372,1,0,2014-05-28,1
8504,Taken,2,44.0,24,70,2,Graduate,0,Rp 477558000,1366,0,0,2014-12-05,1
771,Taken,3,50.0,12,79,2,Graduate,0,Rp 325068000,194,1,0,2014-01-21,0
11178,Single,2,45.0,6,69,7,Postgraduate,0,Rp 254364000,32,1,0,2014-03-23,0
2230,Taken,3,47.0,13,84,5,Postgraduate,0,Rp 141756000,43,1,0,2014-05-24,0
7516,Taken,3,34.0,8,30,6,Graduate,0,Rp 180576000,45,1,0,2014-05-22,0
7247,Single,2,57.0,29,72,6,Graduate,0,Rp 287496000,606,1,0,2012-11-22,1
11100,Single,3,45.0,9,37,7,Graduate,0,Rp 310878000,63,2,0,2013-11-04,0
4646,Taken,2,66.0,30,44,2,Undergraduate,0,Rp 470982000,978,0,0,2013-01-12,0
3037,Taken,2,34.0,21,32,5,Postgraduate,0,Rp 300900000,410,0,0,2013-06-20,0
1473,Single,2,57.0,9,0,8,Undergraduate,0,Rp 286938000,72,1,0,2013-07-23,0
1016,Single,2,58.0,9,43,6,Postgraduate,0,Rp 207324000,55,1,0,2014-03-30,0
4518,Taken,3,38.0,36,59,5,Graduate,0,Rp 514158000,1169,1,0,2013-04-20,0
9370,Taken,2,72.0,22,68,4,Postgraduate,0,Rp 395076000,1120,0,0,2013-05-17,0
8908,Taken,2,58.0,23,35,1,Graduate,1,Rp 523170000,1097,0,0,2014-08-05,0
8373,Taken,3,38.0,6,94,5,Undergraduate,0,Rp 147564000,29,1,0,2013-10-12,0
7533,Taken,4,53.0,17,15,7,Graduate,0,Rp 294576000,187,2,0,2013-09-24,0
2683,Taken,4,48.0,32,56,6,Graduate,0,Rp 314478000,910,2,0,2013-02-02,0
3629,Single,2,39.0,12,17,7,Graduate,0,Rp 231342000,145,1,0,2012-12-19,0
10991,Taken,2,57.0,19,18,2,Postgraduate,0,Rp 534348000,850,0,0,2012-07-12,0
5077,Taken,3,38.0,30,46,3,Graduate,0,Rp 463788000,969,1,0,2013-02-11,0
7431,Single,1,26.0,24,40,9,Postgraduate,1,Rp 408756000,1820,0,0,2012-10-11,1
3267,Taken,3,54.0,28,27,6,Postgraduate,0,Rp 343728000,608,1,0,2014-06-25,1
999,Single,1,26.0,31,95,3,Graduate,1,Rp 516222000,730,0,0,2013-02-01,2
9215,Taken,3,37.0,27,19,7,Postgraduate,0,Rp 263844000,551,1,0,2012-12-12,0
2286,Single,3,55.0,10,27,6,Graduate,0,Rp 304710000,114,2,0,2013-10-09,0
1592,Taken,2,47.0,19,25,1,Graduate,0,Rp 544590000,1724,0,0,2014-01-24,1
367,Taken,3,39.0,29,74,9,Undergraduate,0,Rp 219300000,577,1,0,2013-02-19,0
5234,Taken,4,50.0,8,85,5,Undergraduate,0,Rp 184518000,81,2,0,2013-11-07,0
9862,Taken,3,48.0,9,37,6,Graduate,0,Rp 131508000,33,1,0,2013-11-14,0
9805,Taken,3,64.0,28,65,4,Postgraduate,0,Rp 336774000,660,1,0,2013-06-20,0
6205,Single,2,50.0,11,13,5,Postgraduate,1,Rp 195342000,80,1,0,2014-02-24,0
8442,Taken,4,32.0,7,63,7,Postgraduate,0,Rp 117060000,30,2,0,2013-04-09,0
7386,Single,2,41.0,6,83,7,Graduate,0,Rp 185952000,43,1,0,2013-04-22,0
7215,Single,1,34.0,33,69,2,Graduate,1,Rp 611820000,1135,0,0,2013-12-03,2
1491,Taken,2,52.0,19,87,1,Undergraduate,0,Rp 428928000,559,0,0,2013-02-18,0
11071,Single,1,4001.0,19,37,1,Graduate,1,Rp 477642000,1923,0,0,2013-04-21,0
3381,Taken,4,64.0,10,51,6,Postgraduate,0,Rp 326088000,90,2,0,2014-08-06,0
11051,Taken,4,61.0,29,72,4,Postgraduate,0,Rp 464256000,661,2,0,2014-10-05,0
8026,Taken,3,65.0,24,10,5,Graduate,0,Rp 377988000,463,1,0,2013-09-30,0
433,Single,3,59.0,34,42,8,Postgraduate,0,Rp 367986000,632,2,0,2013-10-03,0
9597,Taken,2,48.0,26,10,4,Graduate,0,Rp 440688000,725,0,0,2014-10-02,0
5290,Taken,4,53.0,21,51,8,Postgraduate,0,Rp 249306000,279,2,0,2013-08-14,0
1685,Taken,2,50.0,27,21,3,Postgraduate,0,Rp 377886000,1482,0,0,2013-03-17,1
5342,Single,2,41.0,7,31,8,Undergraduate,0,Rp 57288000,29,1,0,2012-08-08,0
9579,Taken,5,58.0,11,61,8,Postgraduate,0,Rp 202572000,106,3,0,2013-07-07,0
7660,Single,3,44.0,7,37,5,Postgraduate,1,Rp 215160000,49,2,0,2014-05-19,2
1461,Single,3,52.0,9,74,7,Postgraduate,0,Rp 221526000,38,2,0,2013-07-28,0
821,Single,1,25.0,27,46,2,Postgraduate,0,Rp 557154000,2077,0,0,2012-10-19,0
11084,Taken,3,41.0,20,4,7,Postgraduate,1,Rp 390624000,1053,1,0,2013-11-14,0
8690,Taken,2,55.0,28,73,2,Graduate,0,Rp 516666000,1385,0,0,2013-04-19,0
2937,Single,2,43.0,33,47,6,Postgraduate,0,Rp 410112000,871,1,0,2013-08-28,0
9701,Taken,3,29.0,16,13,7,Graduate,0,Rp 251298000,312,1,0,2013-03-19,0
9949,Taken,4,41.0,18,36,8,Graduate,0,Rp 358854000,877,2,0,2012-10-18,0
10837,Taken,3,42.0,8,47,6,Graduate,1,Rp 143742000,68,1,0,2012-10-28,0
3120,Taken,3,36.0,5,49,8,Graduate,0,Rp 231282000,22,1,1,2013-08-28,0
5885,Taken,5,44.0,20,94,8,Undergraduate,0,Rp 214128000,211,3,0,2012-08-22,0
4050,Taken,2,51.0,10,65,3,Postgraduate,0,Rp 297630000,127,0,0,2014-06-21,0
3830,Taken,4,64.0,20,59,3,Postgraduate,0,Rp 356124000,459,2,0,2014-04-24,0
7987,Taken,3,48.0,27,96,6,Graduate,0,Rp 394482000,460,1,0,2014-07-03,1
7798,Taken,3,45.0,24,28,7,Undergraduate,0,Rp 278064000,429,1,0,2012-12-14,0
92,Single,2,29.0,14,12,6,Graduate,0,Rp 205056000,89,1,0,2014-12-05,0
7055,Taken,3,65.0,34,57,5,Postgraduate,0,Rp 366060000,1021,1,0,2012-09-10,0
10240,Taken,2,68.0,31,10,4,Graduate,1,Rp 416232000,1381,0,0,2013-02-19,2
3025,Single,2,59.0,21,4,7,Graduate,0,Rp 299802000,306,1,0,2013-08-07,0
9283,Single,4,39.0,4,49,4,Graduate,0,Rp 361194000,18,3,0,2013-12-09,0
9970,Taken,3,40.0,10,3,2,Graduate,0,Rp 332250000,162,1,0,2013-10-17,0
2730,Single,1,62.0,21,64,1,Graduate,0,Rp 481902000,1231,0,0,2013-08-20,0
2795,Single,4,59.0,5,0,7,Postgraduate,0,Rp 183138000,13,3,0,2013-01-07,0
9260,Taken,2,72.0,37,20,6,Postgraduate,0,Rp 422136000,1706,0,0,2012-05-11,0
8182,Taken,3,33.0,14,91,8,Graduate,0,Rp 139368000,121,1,0,2014-05-01,0
10095,Single,1,42.0,25,9,2,Postgraduate,0,Rp 444990000,1293,0,0,2013-01-05,0
8475,Taken,3,44.0,37,98,0,Postgraduate,0,Rp 943458000,1608,1,0,2014-01-03,0
4370,Taken,5,51.0,11,83,6,Graduate,0,Rp 260892000,88,3,0,2013-11-13,0
10573,Single,1,64.0,24,27,3,Graduate,0,Rp 375306000,421,0,0,2013-11-18,2
3712,Single,1,58.0,15,63,4,Graduate,0,Rp 313992000,259,0,0,2013-08-28,1
6637,Single,1,29.0,18,46,1,Graduate,0,Rp 401706000,1117,0,0,2013-02-11,0
3152,Taken,4,60.0,11,84,5,Graduate,0,Rp 156546000,89,2,0,2014-02-25,0
5610,Taken,4,52.0,7,58,7,Graduate,0,Rp 200736000,36,2,0,2014-04-21,0
6460,Taken,3,3999.0,9,78,8,Graduate,0,Rp 172308000,57,1,0,2013-07-13,0
1349,Taken,4,47.0,11,4,6,Graduate,0,Rp 302682000,148,2,0,2014-04-21,0
1880,Taken,4,58.0,10,17,5,Postgraduate,0,Rp 321222000,93,2,0,2014-01-30,0
641,Single,2,50.0,9,77,4,Graduate,0,Rp 312444000,119,1,0,2014-04-04,2
8717,Taken,3,42.0,39,56,5,Postgraduate,0,Rp 482562000,1835,1,0,2012-12-09,0
10314,Taken,2,69.0,34,79,4,Postgraduate,1,Rp 503022000,1318,0,0,2012-12-16,1
10854,Taken,4,47.0,9,90,7,Postgraduate,0,Rp 233118000,45,2,0,2014-05-23,0
10492,Taken,5,58.0,4,96,2,Graduate,0,Rp 229710000,10,3,0,2014-06-24,0
6935,Taken,2,66.0,30,44,2,Undergraduate,0,Rp 470982000,978,0,0,2013-01-12,0
7698,Taken,3,41.0,14,81,5,Postgraduate,0,Rp 309900000,191,1,0,2014-11-05,0
3559,Taken,3,29.0,11,77,6,Undergraduate,0,Rp 97488000,57,1,0,2014-10-05,0
10562,Taken,2,71.0,30,21,2,Postgraduate,0,Rp 401010000,1033,0,0,2013-09-28,0
10796,Taken,3,33.0,7,16,6,Postgraduate,0,Rp 182862000,66,1,0,2014-01-22,0
2563,Taken,2,56.0,8,80,6,Undergraduate,0,Rp 169494000,43,0,0,2014-06-15,0
3518,Taken,3,34.0,6,45,9,Graduate,0,Rp 151626000,50,1,0,2012-05-12,0
5823,Single,2,47.0,8,63,5,Postgraduate,0,Rp 193818000,39,1,0,2014-08-03,0
3934,Taken,3,51.0,25,34,5,Graduate,0,Rp 367716000,608,1,0,2013-02-08,0
6982,Taken,2,41.0,28,14,2,Graduate,0,Rp 444408000,1581,0,0,2013-03-19,0
6431,Taken,4,53.0,9,13,7,Postgraduate,0,Rp 274554000,68,2,0,2013-02-23,0
9733,Taken,3,39.0,6,52,6,Undergraduate,0,Rp 149292000,80,1,0,2012-09-09,2
5602,Taken,2,28.0,36,98,3,Postgraduate,0,Rp 401838000,1282,0,0,2013-05-17,0
7829,Single,2,117.0,8,99,5,Undergraduate,0,Rp 219840000,65,1,1,2013-09-26,0
1324,Taken,3,29.0,11,93,8,Graduate,0,Rp 233232000,91,1,0,2013-05-30,0
326,Taken,4,44.0,21,38,6,Graduate,0,Rp 306888000,315,2,0,2013-02-18,0
7224,Taken,4,40.0,7,24,8,Graduate,0,Rp 188118000,31,2,0,2013-12-29,0
6999,Taken,2,37.0,30,80,3,Postgraduate,0,Rp 417966000,834,0,0,2014-05-13,0
9938,Taken,2,63.0,21,82,2,Graduate,0,Rp 480402000,1600,0,0,2013-09-19,1
6422,Taken,2,63.0,22,20,2,Graduate,0,Rp 520308000,1270,0,0,2013-01-17,0
3182,Single,3,44.0,20,81,8,Postgraduate,1,Rp 281124000,263,2,0,2014-03-31,2
7300,Single,2,65.0,27,50,5,Graduate,0,Rp 414852000,535,1,0,2014-06-29,1
10424,Single,1,49.0,22,60,1,Graduate,0,Rp 455532000,1295,0,0,2013-09-12,0
8727,Single,2,39.0,40,63,6,Graduate,0,Rp 382158000,1150,1,0,2013-10-14,0
2798,Taken,2,40.0,33,54,4,Postgraduate,1,Rp 612960000,1240,0,0,2012-02-11,2
1030,Single,3,52.0,7,72,7,Postgraduate,0,Rp 243822000,38,2,0,2013-07-17,0
624,Single,1,33.0,4,5,6,Postgraduate,1,Rp 113340000,35,0,0,2012-10-11,2
5176,Taken,3,29.0,6,88,9,Graduate,0,Rp 177624000,53,1,0,2013-08-12,2
5552,Single,3,54.0,21,50,6,Postgraduate,0,Rp 292326000,293,2,0,2013-05-13,0
868,Taken,3,51.0,8,99,6,Graduate,0,Rp 268764000,65,1,0,2014-08-06,0
380,Single,2,63.0,40,17,8,Graduate,1,Rp 386982000,1804,1,0,2012-10-09,2
2677,Taken,3,61.0,18,11,4,Graduate,0,Rp 276582000,241,1,0,2013-03-31,0
6521,Taken,2,63.0,24,18,1,Graduate,0,Rp 467832000,1101,0,0,2014-03-18,0
6927,Taken,4,49.0,24,70,8,Postgraduate,0,Rp 266262000,264,2,0,2012-05-10,0
2877,Taken,4,43.0,33,21,7,Postgraduate,0,Rp 276084000,541,2,0,2013-01-21,0
0,Taken,2,32.0,20,66,1,Graduate,0,Rp 425706000,1198,0,0,2013-04-05,0
1584,Taken,3,40.0,28,79,8,Graduate,0,Rp 248658000,482,1,0,2014-01-04,0
7264,Single,4,39.0,5,2,8,Undergraduate,0,Rp 313170000,17,3,0,2014-12-05,0
6274,Taken,2,69.0,33,81,3,Postgraduate,0,Rp 502740000,1615,0,0,2013-11-15,2
1377,Single,2,63.0,16,24,7,Postgraduate,0,Rp 267306000,285,1,0,2013-08-31,0
454,Taken,3,37.0,39,48,6,Graduate,0,Rp 417048000,1135,1,0,2012-11-14,0
1755,Taken,3,29.0,8,93,3,Undergraduate,0,Rp 271224000,114,1,0,2014-11-04,0
2075,Taken,2,48.0,19,56,1,Graduate,0,Rp 434760000,1047,0,0,2013-11-14,0
4785,Taken,4,47.0,28,3,3,Postgraduate,0,Rp 465732000,714,2,0,2014-04-14,0
9076,Taken,3,37.0,17,44,8,Postgraduate,0,Rp 184392000,185,1,0,2013-05-01,0
7079,Single,2,55.0,41,38,6,Graduate,0,Rp 383322000,1245,1,0,2012-08-09,0
4653,Taken,3,39.0,15,46,8,Graduate,0,Rp 252066000,189,1,0,2013-03-26,0
7375,Taken,3,41.0,24,84,8,Graduate,0,Rp 308214000,576,1,0,2012-10-25,0
709,Single,2,65.0,20,27,8,Graduate,0,Rp 309222000,1103,1,0,2012-09-12,0
460,Taken,2,45.0,20,72,2,Postgraduate,0,Rp 479580000,1753,0,0,2012-08-08,0
3726,Taken,3,31.0,5,66,8,Postgraduate,0,Rp 205920000,17,1,0,2014-02-16,0
6798,Single,3,51.0,28,30,7,Graduate,1,Rp 222420000,433,2,0,2013-03-20,0
5341,Single,2,55.0,20,2,7,Undergraduate,0,Rp 491850000,1588,1,0,2013-05-01,1
1606,Taken,3,46.0,5,65,8,Graduate,0,Rp 231540000,22,1,0,2013-05-15,0
9617,Single,1,66.0,6,37,3,Graduate,0,Rp 90198000,19,0,0,2014-04-16,0
3233,Taken,3,52.0,36,89,5,Postgraduate,0,Rp 376470000,1117,1,0,2013-03-23,0
89,Taken,3,42.0,10,49,6,Undergraduate,0,Rp 133272000,69,1,0,2013-09-12,0
2936,Taken,3,35.0,6,46,7,Postgraduate,0,Rp 141966000,23,1,0,2013-04-12,0
9449,Single,2,59.0,24,32,3,Postgraduate,0,Rp 478566000,605,1,0,2013-04-10,0
7297,Single,2,44.0,14,54,7,Graduate,0,Rp 45000000,57,1,0,2013-12-26,0
11004,Single,2,124.0,5,23,4,Undergraduate,0,Rp 361092000,22,1,0,2014-05-17,0
313,Single,1,49.0,28,98,3,Graduate,0,Rp 440730000,2088,0,0,2013-10-28,1
9940,Taken,3,59.0,22,97,3,Graduate,0,Rp 389766000,1009,1,0,2012-12-23,0
10735,Single,2,46.0,7,75,9,Graduate,0,Rp 136824000,26,1,0,2013-07-31,0
9529,Taken,2,27.0,25,8,2,Graduate,1,Rp 442122000,1627,0,0,2013-11-28,0
6439,Taken,3,59.0,42,37,7,Graduate,0,Rp 366444000,1102,1,0,2012-08-17,0
7411,Taken,4,53.0,7,31,6,Postgraduate,0,Rp 190116000,17,2,0,2014-05-06,0
2176,Taken,3,3989.0,21,40,6,Graduate,1,Rp 480804000,1690,1,0,2013-05-20,2
9265,Taken,3,64.0,30,74,5,Graduate,0,Rp 450162000,1390,1,0,2013-09-01,0
8867,Taken,2,29.0,24,90,3,Postgraduate,0,Rp 405276000,2126,0,0,2012-08-31,0
8932,Taken,3,48.0,34,57,6,Postgraduate,0,Rp 391056000,1531,1,0,2012-10-29,0
10236,Single,2,42.0,9,59,8,Postgraduate,0,Rp 186960000,64,1,0,2013-09-16,0
6340,Single,2,32.0,7,52,6,Graduate,0,Rp 179628000,26,1,0,2013-10-27,0
10089,Single,1,43.0,35,5,2,Graduate,1,Rp 616152000,1112,0,0,2013-05-04,3
2227,Taken,2,59.0,14,92,6,Undergraduate,0,Rp 158940000,210,0,0,2012-09-22,0
10992,Taken,4,50.0,30,77,8,Graduate,0,Rp 454212000,1148,2,0,2012-08-29,0
5304,Single,2,43.0,7,35,6,Postgraduate,0,Rp 185394000,33,1,0,2012-10-13,0
309,Taken,3,56.0,27,48,6,Postgraduate,0,Rp 380052000,1101,1,0,2012-10-16,1
3406,Single,2,53.0,19,97,3,Graduate,0,Rp 275934000,322,1,0,2012-10-22,0
2661,Single,3,53.0,12,95,5,Graduate,0,Rp 112206000,44,2,0,2013-04-06,0
3153,Single,4,60.0,5,24,8,Postgraduate,0,Rp 244422000,17,3,0,2013-08-12,0
10264,Single,2,38.0,7,60,7,Graduate,1,Rp 91722000,31,1,0,2012-10-10,2
1184,Single,3,49.0,35,46,5,Postgraduate,0,Rp 418044000,845,2,0,2013-05-22,0
4200,Taken,3,47.0,19,85,5,Postgraduate,0,Rp 264954000,275,1,0,2014-06-17,0
9396,Taken,3,39.0,5,31,9,Postgraduate,0,Rp 226302000,25,1,0,2012-11-23,0
2387,Taken,4,65.0,22,9,8,Postgraduate,1,Rp 262656000,275,2,0,2013-03-02,0
6690,Taken,4,51.0,14,30,7,Postgraduate,0,Rp 229074000,90,2,0,2013-03-14,0
1225,Taken,2,54.0,22,47,1,Graduate,0,Rp 480744000,1495,0,0,2014-06-26,2
9703,Taken,4,47.0,14,70,7,Postgraduate,1,Rp 228582000,184,2,0,2012-10-15,2
291,Taken,2,47.0,16,13,1,Graduate,0,Rp 437640000,981,0,0,2013-06-19,0
4557,Taken,3,47.0,10,11,6,Graduate,0,Rp 132420000,67,1,0,2013-04-10,0
2379,Single,1,64.0,17,31,7,Graduate,1,Rp 415602000,1635,0,0,2012-09-22,0
5726,Single,2,34.0,13,15,5,Postgraduate,0,Rp 190728000,60,1,1,2014-03-20,0
3066,Taken,3,42.0,16,2,5,Postgraduate,0,Rp 371430000,231,1,0,2014-04-02,0
6336,Taken,4,57.0,12,55,6,Graduate,0,Rp 175890000,48,2,0,2014-06-04,0
10967,Single,3,54.0,11,38,7,Graduate,0,Rp 200268000,99,2,0,2013-06-02,0
2304,Taken,3,54.0,29,86,4,Postgraduate,0,Rp 397878000,770,1,0,2013-09-16,0
3445,Single,1,61.0,30,56,5,Graduate,1,Rp 364284000,957,0,0,2013-01-17,0
7828,Taken,2,36.0,15,29,1,Postgraduate,0,Rp 467292000,818,0,0,2014-04-30,0
3762,Single,1,31.0,20,30,1,Postgraduate,1,Rp 419202000,925,0,0,2013-02-04,0
4391,Single,2,49.0,31,64,6,Postgraduate,0,Rp 383046000,908,1,0,2013-04-21,0
4669,Taken,3,36.0,13,46,7,Undergraduate,0,Rp 146880000,102,1,0,2013-11-02,0
10144,Taken,3,41.0,24,84,8,Graduate,0,Rp 308214000,576,1,0,2012-10-25,0
8652,Taken,2,71.0,17,20,7,Graduate,0,Rp 226560000,317,0,0,2012-08-31,0
1672,Taken,3,43.0,20,74,2,Postgraduate,0,Rp 393840000,461,1,0,2014-01-03,0
8962,Taken,4,42.0,9,18,5,Postgraduate,0,Rp 265914000,37,2,0,2014-04-17,0
9974,Taken,3,43.0,10,75,7,Graduate,0,Rp 183786000,70,1,0,2013-12-07,0
10983,Taken,2,65.0,29,17,3,Graduate,0,Rp 451668000,930,0,0,2013-01-29,0
8148,Taken,4,61.0,39,88,5,Postgraduate,0,Rp 305388000,859,2,0,2013-08-01,0
